Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0603,1,1uF 50V,
"C11, C6, C7",C_0402,3,1uF,
"C12, C14, C15, C3, C4",C_0402,5,1uF 25V,
"C17, C18",C_0805,2,4.7uF 50V,
C19,C_1210,1,22uF 35V,
"C2, C20, C23, C24, C25, C26, C27, C29, C30, C31, C32, C33, C34, C36, C37, C38, C39, C40, C41, C43, C44, C45, C46, C47, C48, C70",C_0402,26,100nF,
C21,C_0805,1,22uF 25V,C45783
C22,C_0402,1,33pF,
C28,CP_EIA-7343-31_Kemet-D,1,C_Polarized,C106188
"C5, C68, C69",C_0603,3,22uF,
C67,CP_EIA-3528-21_Kemet-B,1,220uF Tant,C122649
"C71, C72",C_0402,2,100nF 25V,C56392
"C73, C76, C77, C78, C79, C80",C_0201,6,100nF,C76934
C74,C_0201,1,18pF,C62164
C75,C_0805,1,47uF 6V,C16780
"D1, D2, D3, D6",D_SOD-123,4,MBR0530,C5204746
"D10, D11, D12, D14, D15, D16, D17, D18, D19, D21, D22, D23, D24, D25, D26, D28, D29, D30, D31, D32, D33, D35, D5, D8, D9",SMD1615,25,XL-1010RGBC-WS2812B,C5349954
D34,DFN1006-2L,1,~,C5137770
J1,XUNPU-FPC-05FB-24PH20,1,Conn_01x26,C2856831
J10,TF_PUSH,1,TF_PUSH,C393941
J4,WAGO-2060-452-998-404,1,BTN,C2765055
"J5, J7",USB-C-Socket-H,2,USB-C-Socket-H,C709357
J8,WAGO-2060-452-998-404,1,PWR,C2765055
L1,L_4x4,1,470uH,C42429207
L5,L_5x5,1,4.7uH,C307876
Q1,SOT-23,1,BSS138,C2938375
R1,R_0402,1,0.47R,C2771738
"R12, R13, R4, R5",R_0402,4,5k1,
"R14, R2",R_0201,2,150k 1%,C310173
"R15, R16, R17, R18, R19, R20, R21, R3, R8",R_0402,9,10K,
"R22, R24",R_0603_,2,0R,
R23,R_0805_,1,0R,
R29,R_0201,1,33k 1%,C320835
R7,R_0402,1,100R,
SW2,ESE13,1,ESE13V01D,
U1,SOT-563,1,TPS562246,C41833479
U4,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
