Designator,Mid X,Mid Y,Rotation,Layer
C1,96.8,77.5,0.0,top
C10,99.5,39.775,270.0,top
C11,96.5,86.0,0.0,top
C12,90.1,95.0,180.0,top
C14,96.5,79.6,0.0,top
C15,96.5,81.4,0.0,top
C17,93.276,60.5,0.0,top
C18,95.174,73.04425,0.0,top
C19,82.0,159.775,0.0,top
C2,46.1,160.925,90.0,top
C20,104.5,141.857143,180.0,top
C21,78.5625,162.55,180.0,top
C22,66.8,153.1,0.0,top
C23,104.5,118.714286,180.0,top
C24,104.5,95.571429,180.0,top
C25,104.5,72.428572,180.0,top
C26,104.5,49.285715,180.0,top
C27,104.5,26.142858,180.0,top
C28,9.0,155.1125,270.0,top
C29,104.5,5.5,135.0,top
C3,96.5,80.5,0.0,top
C30,86.2,5.5,90.0,top
C31,65.4,5.5,90.0,top
C32,44.6,5.5,90.0,top
C33,23.8,5.5,90.0,top
C34,5.5,5.5,45.0,top
C35,56.3,59.0,0.0,top
C36,5.5,26.142858,0.0,top
C37,5.5,49.285715,0.0,top
C38,5.5,72.428572,0.0,top
C39,5.5,95.571429,0.0,top
C4,96.5,82.3,0.0,top
C40,5.5,118.714286,0.0,top
C41,5.5,141.857143,0.0,top
C42,53.7,59.0,180.0,top
C43,5.5,162.5,315.0,top
C44,23.8,162.5,270.0,top
C45,44.6,162.5,270.0,top
C46,65.4,162.5,270.0,top
C47,86.2,162.5,270.0,top
C48,104.5,162.5,225.0,top
C49,58.3,58.3,90.0,top
C5,46.1,158.7,270.0,top
C50,51.7,58.3,270.0,top
C51,56.3,57.7,0.0,top
C52,53.7,57.7,180.0,top
C53,55.0,54.5,90.0,top
C54,48.9,55.625,90.0,top
C55,48.324293,52.100707,180.0,top
C56,57.1,52.2,0.0,top
C57,60.7,47.0,0.0,top
C58,52.025,52.2,180.0,top
C59,60.7,45.7,0.0,top
C6,64.0,160.5,90.0,top
C60,61.7,51.75,180.0,top
C61,59.8,50.05,0.0,top
C62,60.7,48.3,0.0,top
C63,48.6,49.1,180.0,top
C64,48.6,44.8,0.0,top
C65,53.025,42.6,180.0,top
C66,85.0,40.5,270.0,top
C67,100.874,68.28175,270.0,top
C68,99.5,77.5,0.0,top
C69,99.275,93.5,0.0,top
C7,96.5,83.2,0.0,top
C70,96.5,85.0,180.0,top
